2019-07-16 09:53:33.088 [main] INFO  com.consoledeployserver.ConsoleDeployServerApplication - Starting ConsoleDeployServerApplication on JXL-20170825TXC with PID 8512 (D:\console-deploy-server\target\classes started by wudongchun in D:\console-deploy-server)
2019-07-16 09:53:33.103 [main] INFO  com.consoledeployserver.ConsoleDeployServerApplication - No active profile set, falling back to default profiles: default
2019-07-16 09:53:34.692 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8855 (http)
2019-07-16 09:53:34.718 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8855"]
2019-07-16 09:53:34.730 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2019-07-16 09:53:34.730 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.21]
2019-07-16 09:53:34.853 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2019-07-16 09:53:34.854 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 1637 ms
2019-07-16 09:53:35.311 [main] INFO  org.springframework.security.web.DefaultSecurityFilterChain - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@1f2df51, org.springframework.security.web.context.SecurityContextPersistenceFilter@998e21, org.springframework.security.web.header.HeaderWriterFilter@1e6faa6, org.springframework.security.web.csrf.CsrfFilter@157dbb5, org.springframework.security.web.authentication.logout.LogoutFilter@10aee0b, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@1bcbcce, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@121994e, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@1d1f638, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@7bfcb2, org.springframework.security.web.session.SessionManagementFilter@ad68df, org.springframework.security.web.access.ExceptionTranslationFilter@137d04c, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@1860823]
2019-07-16 09:53:35.471 [main] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2019-07-16 09:53:35.663 [main] INFO  org.springframework.boot.autoconfigure.web.servlet.WelcomePageHandlerMapping - Adding welcome page: class path resource [static/index.html]
2019-07-16 09:53:35.770 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8855"]
2019-07-16 09:53:35.803 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8855 (http) with context path ''
2019-07-16 09:53:35.807 [main] INFO  com.consoledeployserver.ConsoleDeployServerApplication - Started ConsoleDeployServerApplication in 4.057 seconds (JVM running for 5.446)
2019-07-16 09:53:51.788 [http-nio-8855-exec-1] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2019-07-16 09:53:51.789 [http-nio-8855-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2019-07-16 09:53:51.799 [http-nio-8855-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 10 ms
2019-07-16 09:53:51.854 [http-nio-8855-exec-1] INFO  com.consoledeployserver.config.CsrfSecurityRequestMatcher - 调用接口【/login】
2019-07-16 09:53:51.874 [http-nio-8855-exec-1] INFO  com.consoledeployserver.controller.HomeController - 【192.168.100.100】请求登录
2019-07-16 09:53:55.561 [http-nio-8855-exec-2] INFO  com.consoledeployserver.config.CsrfSecurityRequestMatcher - 调用接口【/login】
2019-07-16 09:54:09.350 [http-nio-8855-exec-9] INFO  com.consoledeployserver.config.CsrfSecurityRequestMatcher - 调用接口【/deployFile】
2019-07-16 09:54:09.627 [http-nio-8855-exec-5] INFO  com.consoledeployserver.config.CsrfSecurityRequestMatcher - 调用接口【/deployLogs】
2019-07-16 09:54:15.647 [http-nio-8855-exec-12] INFO  com.consoledeployserver.config.CsrfSecurityRequestMatcher - 调用接口【/deploy】
2019-07-16 09:54:15.660 [http-nio-8855-exec-12] INFO  com.consoledeployserver.controller.DeployController - 调用部署....
